,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,74.409,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
1,2011,74.708,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2012,75.013,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2013,75.321,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2014,75.629,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2015,75.928,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2016,76.21,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
7,2017,76.47,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
8,2018,76.704,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
9,2019,76.912,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
10,2020,77.097,SP.DYN.LE00.IN,CHN,China,East Asia & Pacific,Upper middle income,IBRD
11,2010,66.693,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
12,2011,67.13,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
13,2012,67.545,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
14,2013,67.931,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
15,2014,68.286,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
16,2015,68.607,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
17,2016,68.897,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
18,2017,69.165,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
19,2018,69.416,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
20,2019,69.656,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
21,2020,69.887,SP.DYN.LE00.IN,IND,India,South Asia,Lower middle income,IBRD
22,2010,69.205,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
23,2011,69.542,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
24,2012,69.866,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
25,2013,70.179,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
26,2014,70.481,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
27,2015,70.768,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
28,2016,71.035,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
29,2017,71.282,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
30,2018,71.509,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
31,2019,71.716,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
32,2020,71.908,SP.DYN.LE00.IN,IDN,Indonesia,East Asia & Pacific,Lower middle income,IBRD
33,2010,68.8412195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
34,2011,69.683902439,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
35,2012,70.072195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
36,2013,70.5787804878,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
37,2014,70.7436585366,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
38,2015,71.1834146341,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
39,2016,71.6512195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
40,2017,72.4514634146,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
41,2018,72.662195122,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
42,2019,73.083902439,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
43,2020,71.3387804878,SP.DYN.LE00.IN,RUS,Russian Federation,Europe & Central Asia,Upper middle income,IBRD
44,2010,74.507,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
45,2011,74.944,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
46,2012,75.373,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
47,2013,75.784,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
48,2014,76.172,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
49,2015,76.532,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
50,2016,76.86,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
51,2017,77.161,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
52,2018,77.437,SP.DYN.LE00.IN,TUR,Turkiye,Europe & Central Asia,Upper middle income,IBRD
