,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,0.7522179926,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
1,2011,1.1530592801,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
2,2012,1.1369056938,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
3,2013,1.1191092,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
4,2014,1.099461091,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
5,2015,1.0780013445,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
6,2016,1.0571815776,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
7,2017,1.0371338969,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
8,2018,1.0158083491,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
9,2019,0.9933974933,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
10,2020,0.9700539914,SP.POP.GROW,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
11,2010,1.5554895891,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
12,2011,1.3895273156,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
13,2012,1.7458200007,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
14,2013,1.7211514399999999,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
15,2014,1.4915664891,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
16,2015,1.4392166526,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
17,2016,1.5619404981,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
18,2017,1.6845231085,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
19,2018,1.5361055157,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
20,2019,1.5216536775,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
21,2020,1.2829331373000001,SP.POP.GROW,AUS,Australia,East Asia & Pacific,High income,Not classified
22,2010,0.9379593067,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
23,2011,0.9159651785,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
24,2012,0.8935255067000001,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
25,2013,0.8736056958,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
26,2014,0.8557959641,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
27,2015,0.8388389533,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
28,2016,0.8237521525,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
29,2017,0.8071452454,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
30,2018,0.7838442597,SP.POP.GROW,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
